Step;Operator;Admission;Recommender;Updater
64 deployments;0.66m;1.08m;6.38m;2.35m;
256 deployments;0.67m;16.70m;32.79m;26.98m;
1024 deployments;0.66m;34.31m;42.60m;39.27m;
