Step;Operator;Admission;Recommender;Updater
64 deployments 1 containers;0.66m;1.08m;6.38m;2.35m;
256 deployments 1 containers;0.67m;16.70m;32.79m;26.98m;
1024 deployments 1 containers;0.66m;34.31m;42.60m;39.27m;
64 deployments 2 containers;0.83m;9.34m;22.01m;12.33m;
256 deployments 2 containers;0.62m;16.37m;19.66m;12.61m;
1024 deployments 2 containers;0.65m;47.95m;56.39m;79.40m;
64 deployments 4 containers;0.85m;8.44m;17.43m;15.35m;
256 deployments 4 containers;0.60m;9.40m;24.41m;23.14m;
1024 deployments 4 containers;
