Step;Operator;Admission;Recommender;Updater
64 deployments 1 pods;0.66m;1.08m;6.38m;2.35m;
256 deployments 1 pods;0.67m;16.70m;32.79m;26.98m;
1024 deployments 1 pods;0.66m;34.31m;42.60m;39.27m;
64 deployments 2 pods;0.66m;3.94m;5.22m;9.08m;
256 deployments 2 pods;0.67m;8.13m;21.79m;18.37m;
1024 deployments 2 pods;0.64m;60.30m;53.75m;69.91m;
64 deployments 4 pods;0.61m;4.31m;15.49m;19.06m;
256 deployments 4 pods;0.62m;19.44m;42.09m;45.64m;
1024 deployments 4 pods;0.59m;96.09m;63.76m;119.39m;
